iso,ioc,fifa
AFG,AFG,AFG
ALA,,
ALB,ALB,ALB
DZA,ALG,ALG
ASM,ASA,ASA
AND,AND,AND
AGO,ANG,ANG
AIA,,AIA
ATA,,
ATG,ANT,ATG
ARG,ARG,ARG
ARM,ARM,ARM
ABW,ARU,ARU
AUS,AUS,AUS
AUT,AUT,AUT
AZE,AZE,AZE
BHS,BAH,BAH
BHR,BRN,BHR
BGD,BAN,BAN
BRB,BAR,BRB
BLR,BLR,BLR
BEL,BEL,BEL
BLZ,BIZ,BLZ
BEN,BEN,BEN
BMU,BER,BER
BTN,BHU,BHU
BOL,BOL,BOL
BES,AHO,
BIH,BIH,BIH
BWA,BOT,BOT
BVT,,
BRA,BRA,BRA
IOT,,
VGB,IVB,VGB
BRN,BRU,BRU
BGR,BUL,BUL
BFA,BUR,BFA
BDI,BDI,BDI
KHM,CAM,CAM
CMR,CMR,CMR
CAN,CAN,CAN
CPV,CPV,CPV
CYM,CAY,CAY
CAF,CAF,CTA
TCD,CHA,CHA
CHL,CHI,CHI
CHN,CHN,CHN
CXR,,
CCK,,
COL,COL,COL
COM,COM,COM
COD,COD,COD
COG,CGO,CGO
COK,COK,COK
CRI,CRC,CRC
CIV,CIV,CIV
HRV,CRO,CRO
CUB,CUB,CUB
CUW,,
CYP,CYP,CYP
CZE,CZE,CZE
DNK,DEN,DEN
DJI,DJI,DJI
DMA,DMA,DMA
DOM,DOM,DOM
ECU,ECU,ECU
EGY,EGY,EGY
SLV,ESA,SLV
[7],,ENG
GNQ,GEQ,EQG
ERI,ERI,ERI
EST,EST,EST
ETH,ETH,ETH
FLK,,
FRO,,FRO
FJI,FIJ,FIJ
FIN,FIN,FIN
FRA,FRA,FRA
GUF,,
PYF,,TAH
ATF,,
GAB,GAB,GAB
GMB,GAM,GAM
GEO,GEO,GEO
DEU,GER,GER
GHA,GHA,GHA
GIB,,GIB
GRC,GRE,GRE
GRL,,
GRD,GRN,GRN
GLP,,
GUM,GUM,GUM
GTM,GUA,GUA
GGY,,
GIN,GUI,GUI
GNB,GBS,GNB
GUY,GUY,GUY
HTI,HAI,HAI
HMD,,
HND,HON,HON
HKG,HKG,HKG
HUN,HUN,HUN
ISL,ISL,ISL
IND,IND,IND
IDN,INA,IDN
IRN,IRI,IRN
IRQ,IRQ,IRQ
IRL,IRL,IRL
IMN,,
ISR,ISR,ISR
ITA,ITA,ITA
JAM,JAM,JAM
JPN,JPN,JPN
JEY,,
JOR,JOR,JOR
KAZ,KAZ,KAZ
KEN,KEN,KEN
KIR,KIR,
PRK,PRK,PRK
KOR,KOR,KOR
KWT,KUW,KUW
KGZ,KGZ,KGZ
LAO,LAO,LAO
LVA,LAT,LVA
LBN,LIB,LBN
LSO,LES,LES
LBR,LBR,LBR
LBY,LBA,LBY
LIE,LIE,LIE
LTU,LTU,LTU
LUX,LUX,LUX
MAC,,MAC
MKD,MKD,MKD
MDG,MAD,MAD
MWI,MAW,MWI
MYS,MAS,MAS
MDV,MDV,MDV
MLI,MLI,MLI
MLT,MLT,MLT
MHL,MHL,
MTQ,,
MRT,MTN,MTN
MUS,MRI,MRI
MYT,,
MEX,MEX,MEX
FSM,FSM,
MDA,MDA,MDA
MCO,MON,
MNG,MGL,MNG
MNE,MNE,MNE
MSR,,MSR
MAR,MAR,MAR
MOZ,MOZ,MOZ
MMR,MYA,MYA
NAM,NAM,NAM
NRU,NRU,
NPL,NEP,NEP
NLD,NED,NED
NCL,,NCL
NZL,NZL,NZL
NIC,NCA,NCA
NER,NIG,NIG
NGA,NGR,NGA
NIU,,
NFK,,
,,NIR
MNP,,
NOR,NOR,NOR
OMN,OMA,OMA
PAK,PAK,PAK
PLW,PLW,
PSE,PLE,PLE
PAN,PAN,PAN
PNG,PNG,PNG
PRY,PAR,PAR
PER,PER,PER
PHL,PHI,PHI
PCN,,
POL,POL,POL
PRT,POR,POR
PRI,PUR,PUR
QAT,QAT,QAT
REU,,
ROU,ROU,ROU
RUS,RUS,RUS
RWA,RWA,RWA
BLM,,
SHN,,
KNA,SKN,SKN
LCA,LCA,LCA
MAF,,
SPM,,
VCT,VIN,VIN
WSM,SAM,SAM
SMR,SMR,SMR
STP,STP,STP
SAU,KSA,KSA
,,SCO
SEN,SEN,SEN
SRB,SRB,SRB
SYC,SEY,SEY
SLE,SLE,SLE
SGP,SGP,SIN
SXM,,
SVK,SVK,SVK
SVN,SLO,SVN
SLB,SOL,SOL
SOM,SOM,SOM
ZAF,RSA,RSA
SGS,,
ESP,ESP,ESP
LKA,SRI,SRI
SDN,SUD,SDN
SUR,SUR,SUR
SJM,,
SWZ,SWZ,SWZ
SWE,SWE,SWE
CHE,SUI,SUI
SYR,SYR,SYR
TWN,TPE,TPE
TJK,TJK,TJK
TZA,TAN,TAN
THA,THA,THA
TLS,TLS,TLS
TGO,TOG,TOG
TKL,,
TON,TGA,TGA
TTO,TTO,TRI
TUN,TUN,TUN
TUR,TUR,TUR
TKM,TKM,TKM
TCA,,TCA
TUV,TUV,
UGA,UGA,UGA
UKR,UKR,UKR
ARE,UAE,UAE
GBR,GBR,
USA,USA,USA
UMI,,
VIR,ISV,VIR
URY,URU,URU
UZB,UZB,UZB
VUT,VAN,VAN
VAT,,
VEN,VEN,VEN
VNM,VIE,VIE
,,WAL
WLF,,
ESH,,
YEM,YEM,YEM
ZMB,ZAM,ZAM
ZWE,ZIM,ZIM
