fips,admin2,admin1,population,group,altName,fips_state,postal
01000,,Alabama,4903185,,,01,AL
01001,Autauga County,Alabama,55869,,,01,AL
01003,Baldwin County,Alabama,223234,,,01,AL
01005,Barbour County,Alabama,24686,,,01,AL
01007,Bibb County,Alabama,22394,,,01,AL
01009,Blount County,Alabama,57826,,,01,AL
01011,Bullock County,Alabama,10101,,,01,AL
01013,Butler County,Alabama,19448,,,01,AL
01015,Calhoun County,Alabama,113605,,,01,AL
01017,Chambers County,Alabama,33254,,,01,AL
01019,Cherokee County,Alabama,26196,,,01,AL
01021,Chilton County,Alabama,44428,,,01,AL
01023,Choctaw County,Alabama,12589,,,01,AL
01025,Clarke County,Alabama,23622,,,01,AL
01027,Clay County,Alabama,13235,,,01,AL
01029,Cleburne County,Alabama,14910,,,01,AL
01031,Coffee County,Alabama,52342,,,01,AL
01033,Colbert County,Alabama,55241,,,01,AL
01035,Conecuh County,Alabama,12067,,,01,AL
01037,Coosa County,Alabama,10663,,,01,AL
01039,Covington County,Alabama,37049,,,01,AL
01041,Crenshaw County,Alabama,13772,,,01,AL
01043,Cullman County,Alabama,83768,,,01,AL
01045,Dale County,Alabama,49172,,,01,AL
01047,Dallas County,Alabama,37196,,,01,AL
01049,DeKalb County,Alabama,71513,,,01,AL
01051,Elmore County,Alabama,81209,,,01,AL
01053,Escambia County,Alabama,36633,,,01,AL
01055,Etowah County,Alabama,102268,,,01,AL
01057,Fayette County,Alabama,16302,,,01,AL
01059,Franklin County,Alabama,31362,,,01,AL
01061,Geneva County,Alabama,26271,,,01,AL
01063,Greene County,Alabama,8111,,,01,AL
01065,Hale County,Alabama,14651,,,01,AL
01067,Henry County,Alabama,17205,,,01,AL
01069,Houston County,Alabama,105882,,,01,AL
01071,Jackson County,Alabama,51626,,,01,AL
01073,Jefferson County,Alabama,658573,,,01,AL
01075,Lamar County,Alabama,13805,,,01,AL
01077,Lauderdale County,Alabama,92729,,,01,AL
01079,Lawrence County,Alabama,32924,,,01,AL
01081,Lee County,Alabama,164542,,,01,AL
01083,Limestone County,Alabama,98915,,,01,AL
01085,Lowndes County,Alabama,9726,,,01,AL
01087,Macon County,Alabama,18068,,,01,AL
01089,Madison County,Alabama,372909,,,01,AL
01091,Marengo County,Alabama,18863,,,01,AL
01093,Marion County,Alabama,29709,,,01,AL
01095,Marshall County,Alabama,96774,,,01,AL
01097,Mobile County,Alabama,413210,,,01,AL
01099,Monroe County,Alabama,20733,,,01,AL
01101,Montgomery County,Alabama,226486,,,01,AL
01103,Morgan County,Alabama,119679,,,01,AL
01105,Perry County,Alabama,8923,,,01,AL
01107,Pickens County,Alabama,19930,,,01,AL
01109,Pike County,Alabama,33114,,,01,AL
01111,Randolph County,Alabama,22722,,,01,AL
01113,Russell County,Alabama,57961,,,01,AL
01115,St. Clair County,Alabama,89512,,,01,AL
01117,Shelby County,Alabama,217702,,,01,AL
01119,Sumter County,Alabama,12427,,,01,AL
01121,Talladega County,Alabama,79978,,,01,AL
01123,Tallapoosa County,Alabama,40367,,,01,AL
01125,Tuscaloosa County,Alabama,209355,,,01,AL
01127,Walker County,Alabama,63521,,,01,AL
01129,Washington County,Alabama,16326,,,01,AL
01131,Wilcox County,Alabama,10373,,,01,AL
01133,Winston County,Alabama,23629,,,01,AL
02000,,Alaska,731545,,,02,AK
02013,Aleutians East Borough,Alaska,3337,,,02,AK
02016,Aleutians West Census Area,Alaska,5634,,,02,AK
02020,Anchorage Municipality,Alaska,288000,,,02,AK
02050,Bethel Census Area,Alaska,18386,,,02,AK
02060,Bristol Bay Borough,Alaska,836,,,02,AK
02068,Denali Borough,Alaska,2097,,,02,AK
02070,Dillingham Census Area,Alaska,4916,,,02,AK
02090,Fairbanks North Star Borough,Alaska,96849,,,02,AK
02100,Haines Borough,Alaska,2530,,,02,AK
02105,Hoonah-Angoon Census Area,Alaska,2148,,,02,AK
02110,Juneau City and Borough,Alaska,31974,,,02,AK
02122,Kenai Peninsula Borough,Alaska,58708,,,02,AK
02130,Ketchikan Gateway Borough,Alaska,13901,,,02,AK
02150,Kodiak Island Borough,Alaska,12998,,,02,AK
02158,Kusilvak Census Area,Alaska,8314,,,02,AK
02164,Lake and Peninsula Borough,Alaska,1592,,,02,AK
02170,Matanuska-Susitna Borough,Alaska,108317,,,02,AK
02180,Nome Census Area,Alaska,10004,,,02,AK
02185,North Slope Borough,Alaska,9832,,,02,AK
02188,Northwest Arctic Borough,Alaska,7621,,,02,AK
02195,Petersburg Borough,Alaska,3266,,,02,AK
02198,Prince of Wales-Hyder Census Area,Alaska,6203,,,02,AK
02220,Sitka City and Borough,Alaska,8493,,,02,AK
02230,Skagway Municipality,Alaska,1183,,,02,AK
02240,Southeast Fairbanks Census Area,Alaska,6893,,,02,AK
02261,Valdez-Cordova Census Area,Alaska,9202,,,02,AK
02275,Wrangell City and Borough,Alaska,2502,,,02,AK
02282,Yakutat City and Borough,Alaska,579,,,02,AK
02290,Yukon-Koyukuk Census Area,Alaska,5230,,,02,AK
04000,,Arizona,7278717,,,04,AZ
04001,Apache County,Arizona,71887,,,04,AZ
04003,Cochise County,Arizona,125922,,,04,AZ
04005,Coconino County,Arizona,143476,,,04,AZ
04007,Gila County,Arizona,54018,,,04,AZ
04009,Graham County,Arizona,38837,,,04,AZ
04011,Greenlee County,Arizona,9498,,,04,AZ
04012,La Paz County,Arizona,21108,,,04,AZ
04013,Maricopa County,Arizona,4485414,,Phoenix,04,AZ
